Region,Atmospheric Condition,Area,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Gender,Injury Severity
South,Clear,Urban,Collector,16,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
South,Clear,Urban,Collector,71,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
South,Clear,Urban,Collector,29,No,Pedestrian,Unknown,Female,Fatal Injury (K)
South,Clear,Urban,Collector,56,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
South,Clear,Urban,Collector,68,No,Pedestrian,Unknown,Female,Fatal Injury (K)
South,Clear,Urban,Collector,73,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
South,Clear,Urban,Collector,37,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
South,Clear,Urban,Collector,20,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,37,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,46,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,63,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,66,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
South,Clear,Urban,Collector,3,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
South,Clear,Urban,Collector,28,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
South,Clear,Urban,Collector,31,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
South,Clear,Urban,Collector,45,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
South,Clear,Urban,Collector,49,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
South,Clear,Urban,Collector,20,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Possible Injury (C)
South,Clear,Urban,Collector,28,No,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
South,Clear,Urban,Collector,19,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,21,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,47,Yes,Pedestrian,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,55,No,Pedestrian,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,67,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,73,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Clear,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Non-incapacitating Evident Injury (B)
South,Clear,Urban,Collector,19,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Non-incapacitating Evident Injury (B)
South,Clear,Urban,Collector,16,No,Passenger of a Motor Vehicle In-Transport,Yes,Female,Fatal Injury (K)
South,Clear,Urban,Collector,18,No,Driver of a Motor Vehicle In-Transport,Yes,Male,Fatal Injury (K)
West,Clear,Urban,Collector,6,Unknown,Pedestrian,No,Female,Fatal Injury (K)
West,Clear,Urban,Collector,22,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
West,Clear,Urban,Collector,71,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
West,Clear,Urban,Collector,80,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
West,Clear,Urban,Collector,40,Unknown,Passenger of a Motor Vehicle In-Transport,No,Female,Incapacitating Injury (A)
West,Clear,Urban,Collector,24,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
West,Clear,Urban,Collector,47,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
West,Clear,Urban,Collector,47,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
West,Clear,Urban,Collector,15,No,Bicyclist,No,Male,Fatal Injury (K)
West,Clear,Urban,Collector,23,Unknown,Passenger of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
West,Clear,Urban,Collector,40,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
West,Clear,Urban,Collector,50,No,Bicyclist,No,Male,Fatal Injury (K)
West,Clear,Urban,Collector,74,Unknown,Pedestrian,No,Male,Fatal Injury (K)
West,Clear,Urban,Collector,24,Unknown,Passenger of a Motor Vehicle In-Transport,No,Male,Incapacitating Injury (A)
West,Clear,Urban,Collector,55,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Incapacitating Injury (A)
West,Clear,Urban,Collector,18,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Clear,Urban,Collector,22,No,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Clear,Urban,Collector,37,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Clear,Urban,Collector,48,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Clear,Urban,Collector,65,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Clear,Urban,Collector,69,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Clear,Urban,Collector,48,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
West,Clear,Urban,Collector,63,Unknown,Pedestrian,No,Male,Non-incapacitating Evident Injury (B)
West,Clear,Urban,Collector,17,No,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
West,Clear,Urban,Collector,85,No,Pedestrian,Unknown,Female,Fatal Injury (K)
West,Clear,Urban,Collector,9,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
West,Clear,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
West,Clear,Urban,Collector,19,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
West,Clear,Urban,Collector,20,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
West,Clear,Urban,Collector,21,No,Driver of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
West,Clear,Urban,Collector,41,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Non-incapacitating Evident Injury (B)
West,Clear,Urban,Collector,51,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Non-incapacitating Evident Injury (B)
West,Clear,Urban,Collector,77,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Non-incapacitating Evident Injury (B)
West,Clear,Urban,Collector,9,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Possible Injury (C)
West,Clear,Urban,Collector,24,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Possible Injury (C)
West,Clear,Urban,Collector,18,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,19,Yes,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,27,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,49,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,52,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,87,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
West,Clear,Urban,Collector,3,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
West,Clear,Urban,Collector,38,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
West,Clear,Urban,Collector,41,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
West,Clear,Urban,Collector,57,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
West,Clear,Urban,Collector,43,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Non-incapacitating Evident Injury (B)
West,Clear,Urban,Collector,8,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Possible Injury (C)
West,Clear,Urban,Collector,25,No,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
West,Clear,Urban,Collector,49,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Possible Injury (C)
West,Clear,Urban,Collector,25,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,46,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Clear,Urban,Collector,48,No,Bicyclist,Yes,Female,Fatal Injury (K)
West,Clear,Urban,Collector,63,No,Driver of a Motor Vehicle In-Transport,Yes,Male,Non-incapacitating Evident Injury (B)
Midwest,Cloudy,Urban,Collector,37,No,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
Midwest,Cloudy,Urban,Collector,12,Unknown,Persons on Personal Conveyances,No,Male,Fatal Injury (K)
Midwest,Cloudy,Urban,Collector,23,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Cloudy,Urban,Collector,26,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Cloudy,Urban,Collector,18,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Midwest,Cloudy,Urban,Collector,33,Yes,Pedestrian,Unknown,Male,Fatal Injury (K)
Northeast,Cloudy,Urban,Collector,77,No,Driver of a Motor Vehicle In-Transport,No,Female,Possible Injury (C)
Northeast,Cloudy,Urban,Collector,62,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Northeast,Cloudy,Urban,Collector,50,No,Driver of a Motor Vehicle In-Transport,Yes,Male,No Injury (O)
South,Cloudy,Urban,Collector,2,Unknown,Pedestrian,No,Male,Fatal Injury (K)
South,Cloudy,Urban,Collector,44,No,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
South,Cloudy,Urban,Collector,44,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
South,Cloudy,Urban,Collector,48,No,Driver of a Motor Vehicle In-Transport,No,Male,Possible Injury (C)
South,Cloudy,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
South,Cloudy,Urban,Collector,19,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
South,Cloudy,Urban,Collector,87,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
South,Cloudy,Urban,Collector,53,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Cloudy,Urban,Collector,19,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
West,Cloudy,Urban,Collector,31,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
West,Cloudy,Urban,Collector,51,Unknown,Pedestrian,No,Male,Non-incapacitating Evident Injury (B)
West,Cloudy,Urban,Collector,34,Unknown,Pedestrian,No,Male,Possible Injury (C)
West,Cloudy,Urban,Collector,31,Unknown,Occupant of a Motor Vehicle Not In- Transport,Unknown,Female,Possible Injury (C)
West,Cloudy,Urban,Collector,22,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Cloudy,Urban,Collector,25,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Cloudy,Urban,Collector,24,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Non-incapacitating Evident Injury (B)
West,Cloudy,Urban,Collector,34,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
Midwest,Unknown,Urban,Collector,44,Yes,Pedestrian,Unknown,Male,Fatal Injury (K)
South,Rain,Urban,Collector,84,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
South,Rain,Urban,Collector,52,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
South,Rain,Urban,Collector,70,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Non-incapacitating Evident Injury (B)
South,Rain,Urban,Collector,2,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
South,Rain,Urban,Collector,4,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
South,Rain,Urban,Collector,33,No,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
South,Rain,Urban,Collector,22,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
South,Rain,Urban,Collector,30,No,Driver of a Motor Vehicle In-Transport,Yes,Male,Incapacitating Injury (A)
West,Rain,Urban,Collector,19,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
West,Rain,Urban,Collector,47,No,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
West,Rain,Urban,Collector,21,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Non-incapacitating Evident Injury (B)
West,Rain,Urban,Collector,20,Unknown,Passenger of a Motor Vehicle In-Transport,No,Male,Incapacitating Injury (A)
West,Rain,Urban,Collector,30,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
West,Rain,Urban,Collector,18,Yes,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Rain,Urban,Collector,22,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
West,Rain,Urban,Collector,17,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
Midwest,Snow,Urban,Collector,68,No,Pedestrian,No,Male,Fatal Injury (K)
Midwest,Snow,Urban,Collector,64,No,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Northeast,Snow,Urban,Collector,88,No,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
Northeast,Snow,Urban,Collector,90,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
Northeast,Snow,Urban,Collector,48,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
Midwest,"Blowing Sand, Soil, Dirt",Rural,Local Road or Street,54,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Midwest,Blowing Snow,Rural,Local Road or Street,78,No,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Blowing Snow,Urban,Local Road or Street,46,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
West,Blowing Snow,Rural,Local Road or Street,22,Unknown,Passenger of a Motor Vehicle In-Transport,Yes,Female,Non-incapacitating Evident Injury (B)
West,Blowing Snow,Rural,Local Road or Street,30,Yes,Driver of a Motor Vehicle In-Transport,Yes,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,15,Yes,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,18,No,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,36,No,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,40,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,53,Unknown,Passenger of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,66,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,84,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,59,No,Driver of a Motor Vehicle In-Transport,No,Female,Incapacitating Injury (A)
Midwest,Clear,Rural,Local Road or Street,60,No,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
Midwest,Clear,Urban,Local Road or Street,35,No,Driver of a Motor Vehicle In-Transport,No,Female,Non-incapacitating Evident Injury (B)
Midwest,Clear,Rural,Local Road or Street,6,Unknown,Pedestrian,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,16,Unknown,Pedestrian,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,19,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,21,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,23,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,31,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,39,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,43,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,47,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,47,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,49,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,55,No,Pedestrian,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,57,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,85,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Rural,Local Road or Street,90,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,18,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,38,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,50,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,64,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,87,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Local Road or Street,21,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Incapacitating Injury (A)
Midwest,Clear,Urban,Local Road or Street,31,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Incapacitating Injury (A)
Midwest,Clear,Rural,Local Road or Street,47,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Rural,Local Road or Street,60,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Rural,Local Road or Street,62,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Rural,Local Road or Street,75,Yes,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Urban,Local Road or Street,32,No,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Urban,Local Road or Street,50,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Rural,Local Road or Street,38,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Rural,Local Road or Street,40,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Rural,Local Road or Street,47,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Rural,Local Road or Street,80,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Urban,Local Road or Street,24,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Urban,Local Road or Street,72,No,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Urban,Local Road or Street,86,Unknown,Driver of a Motor Vehicle In-Transport,No,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Rural,Local Road or Street,15,Unknown,Pedestrian,No,Male,Possible Injury (C)
Midwest,Clear,Rural,Local Road or Street,22,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Possible Injury (C)
